group,days_post_btx,pct_contractile_area,shapeleastaxislength_delta,shapemajoraxislength_delta,shapemaximum2ddiametercolumn_delta,shapemaximum2ddiameterrow_delta,shapemaximum2ddiameterslice_delta,shapemaximum3ddiameter_delta,shapemeshvolume_delta,shapeminoraxislength_delta,shapesphericity_delta,shapesurfacearea_delta,shapesurfacevolumeratio_delta,shapevoxelvolume_delta,firstorder10percentile_delta,firstorder90percentile_delta,firstorderenergy_delta,firstorderentropy_delta,firstorderinterquartilerange_delta,firstorderkurtosis_delta,firstordermaximum_delta,firstordermeanabsolutedeviation_delta,firstordermean_delta,firstordermedian_delta,firstorderminimum_delta,firstorderrange_delta,firstorderrobustmeanabsolutedeviation_delta,firstorderrootmeansquared_delta,firstorderskewness_delta,firstordertotalenergy_delta,firstorderuniformity_delta,firstordervariance_delta,glcmautocorrelation_delta,glcmclusterprominence_delta,glcmclustershade_delta,glcmclustertendency_delta,glcmcontrast_delta,glcmcorrelation_delta,glcmdifferenceaverage_delta,glcmdifferenceentropy_delta,glcmdifferencevariance_delta,glcmid_delta,glcmidm_delta,glcmidmn_delta,glcmidn_delta,glcmimc1_delta,glcmimc2_delta,glcminversevariance_delta,glcmjointaverage_delta,glcmjointenergy_delta,glcmjointentropy_delta,glcmmcc_delta,glcmmaximumprobability_delta,glcmsumaverage_delta,glcmsumentropy_delta,glcmsumsquares_delta,gldmdependenceentropy_delta,gldmdependencenonuniformity_delta,gldmdependencenonuniformitynormalized_delta,gldmdependencevariance_delta,gldmgraylevelnonuniformity_delta,gldmgraylevelvariance_delta,gldmhighgraylevelemphasis_delta,gldmlargedependenceemphasis_delta,gldmlargedependencehighgraylevelemphasis_delta,gldmlargedependencelowgraylevelemphasis_delta,gldmlowgraylevelemphasis_delta,gldmsmalldependenceemphasis_delta,gldmsmalldependencehighgraylevelemphasis_delta,gldmsmalldependencelowgraylevelemphasis_delta,glrlmgraylevelnonuniformity_delta,glrlmgraylevelnonuniformitynormalized_delta,glrlmgraylevelvariance_delta,glrlmhighgraylevelrunemphasis_delta,glrlmlongrunemphasis_delta,glrlmlongrunhighgraylevelemphasis_delta,glrlmlongrunlowgraylevelemphasis_delta,glrlmlowgraylevelrunemphasis_delta,glrlmrunentropy_delta,glrlmrunlengthnonuniformity_delta,glrlmrunlengthnonuniformitynormalized_delta,glrlmrunpercentage_delta,glrlmrunvariance_delta,glrlmshortrunemphasis_delta,glrlmshortrunhighgraylevelemphasis_delta,glrlmshortrunlowgraylevelemphasis_delta,glszmgraylevelnonuniformity_delta,glszmgraylevelnonuniformitynormalized_delta,glszmgraylevelvariance_delta,glszmhighgraylevelzoneemphasis_delta,glszmlargeareaemphasis_delta,glszmlargeareahighgraylevelemphasis_delta,glszmlargearealowgraylevelemphasis_delta,glszmlowgraylevelzoneemphasis_delta,glszmsizezonenonuniformity_delta,glszmsizezonenonuniformitynormalized_delta,glszmsmallareaemphasis_delta,glszmsmallareahighgraylevelemphasis_delta,glszmsmallarealowgraylevelemphasis_delta,glszmzoneentropy_delta,glszmzonepercentage_delta,glszmzonevariance_delta,ngtdmbusyness_delta,ngtdmcoarseness_delta,ngtdmcomplexity_delta,ngtdmcontrast_delta,ngtdmstrength_delta,ehat_norm,erat_days_pred,erat_norm
GC,0,0.48445557,0,-41.55510908717997,-5.0,-22.0,0.7769877503209841,0.7769877503209841,-7773.999999999938,-25.3335099487296,0.01972543782558231,-15595.539105244898,0.0314935280311901,-7787.0,6.0,-12.0,-14138298.0,-0.32878837248816994,-11.0,1.7909694142539903,-28.0,-5.755327463255799,-2.8008303227223976,-2.0,0.0,-28.0,-4.83568619450838,-5.314893026776797,0.36021764493576,-14138298.0,0.10559412387967004,-197.971720465622,-0.68667857806112,-8.02691759797375,-1.372600433223735,-0.9958518938474199,-0.012842956603612982,-0.07513429528383297,-0.010999560344070985,-0.033617272992403024,-0.009487106408824011,0.005192547462112063,0.0053154405460820175,-0.004169510075240912,-0.006565127567270013,0.06925253410575294,-0.07359238995650397,-0.009386588616971975,-0.12601757497857013,0.09428539559124,-0.40877029423592015,-0.07057176303753998,0.150252503308971,-0.25203514995715004,-0.3906132102403299,-0.252173712612757,-0.37278386720075973,-2435.73287975943,0.007140403942958007,0.06431906667256015,-1813.0503031983299,-0.250127975308099,-0.65856321525597,-0.01166523713069978,-36.17809337761099,-1.103399080207602,-0.0008727339306180415,0.00045006763930350094,-0.015996162043758796,0.0007199019493128005,-351.804293258846,0.049053334427891004,-0.18845338795148203,-0.9462467141316298,4.9782418069929975,40.78428923952805,-16.773551987367995,0.060554569972046,-0.2624735974645205,-133.676465412535,-0.0002214257318089996,0.0006193316068930088,-0.05554624062929747,0.006313134485812999,-0.19455210033452008,0.013347401330359596,-12.0305614783227,0.03543018652969998,-0.08483688269991996,-1.08422174840085,-109750.88343994302,-57646.54193319008,-144969.083994314,0.093302831082682,-2.13148542999289,0.016776037907056604,0.04108745540756201,0.0562246345792099,0.037473160852231596,-0.6400150431096598,-0.00010640790339547061,-110276.354897257,4.942555402999403,0.0007054254588526299,-1.95001798208778,0.00247413930132883,-0.0164929721802982,0.3919099249202933,0.00071517632094821,0.0016032325259690556
GC,0,0.40746436,0,-66.73551526994902,-25.0,-22.0,-27.135459683995975,-27.135459683995975,-8689.749999999938,-24.115955550759296,0.022501728831331905,-17454.019424773203,0.036676317767800004,-8705.0,2.0,-17.0,-19048883.0,-0.4007075052415301,-14.0,3.6517773360181707,-59.0,-6.4369453161567005,-5.5024893441824965,-3.0,0.0,-59.0,-5.23225127819364,-8.132895875099397,0.6534188447473102,-19048883.0,0.11210948089973505,-247.02223563920998,-1.0349202501895203,-20.3134341106136,-2.1823020214469,-1.2198022532264499,-0.018206249599205998,-0.05765295549540894,-0.014639590061160002,-0.04366757477268901,-0.013357040446978996,0.006725351774238053,0.006963129076774988,-0.003118410013142059,-0.006554268491244075,0.06712457864688803,-0.07057473744605502,-0.011518762965368995,-0.2081394076304499,0.09344555944668698,-0.4692386610227999,-0.01794259675548293,0.11252320801807197,-0.41627881526090027,-0.4499025132748298,-0.30950212570641406,-0.39136657810111997,-2689.88132404686,0.0053073525520139775,0.0020866272528503593,-1992.4113629580097,-0.339505171997618,-1.1056079090203,0.057964025604498204,-49.540278539319985,1.320879221560098,0.044331797241008,-0.00012584756652610218,-0.05822652610313499,0.0018580789303165,-331.75842346198806,0.078265418954373,-0.46750437589344296,-2.10187915815101,-3.5778160512799957,-17.762716155969997,-14.333898483315693,0.117898111078729,-0.3201320294717398,-190.085040072664,-0.007965106872330999,-0.00045889070920998587,-7.961133793567299,-0.010764081067023007,-1.0644410518758602,0.024850922977919798,-11.776119402985099,0.0771930230607,-1.2174375784347402,-4.655456483814639,-191596.37807714602,-410038.34725721704,-155041.927994603,0.12511694511913402,-3.6103896103896105,0.018715244824956,0.011287689801292022,-0.8702397678635301,0.029948230809356394,-1.1656149157211706,-0.0010974389440580393,-195378.88077985198,7.725855802073802,0.0008064168626770998,-4.11456931661805,0.0019736794338568705,-0.0441816004537322,0.5050228458358145,-0.0012450637702340697,0.0014635129278222354
GC,0,0.36417034000000004,0,-96.399965816546,-66.0,-24.0,-39.82122105058198,-39.82122105058198,-9482.499999999998,-19.316920837771995,0.019995997644346994,-19090.211411733697,0.02614226608435022,-9519.0,4.0,-5.0,-19178715.0,-0.1611007643903002,-11.0,3.2760576770144407,-14.0,-3.071580662476501,-2.717501970464596,-5.0,0.0,-14.0,-3.7328605065133207,-3.2373929636165,0.8968026638662501,-19178715.0,0.06351977817913795,-74.73389781547104,-0.49795446002849975,-1.4492428129924022,0.7425248274338898,-0.41855172504633,0.022147923245012996,-0.03252832316988408,0.016588436635980003,0.043655429134955015,0.015442063425705005,-0.007423411522748946,-0.0077382696570859055,-0.0003316223000899843,-0.0017827396571810095,0.05222238094401199,-0.034437120418378986,0.012250643190018007,-0.10300627648673988,0.05314884234865702,-0.16379670822852965,-0.027587340035326924,0.09273942822801196,-0.20601255297348997,-0.18204808548513984,-0.09910095045032796,-0.14157881239485004,-3239.0521154007,-0.02622713024169704,0.4026407509744496,-2530.5904727280704,-0.07941127656620706,-0.4460154742574698,-2.2590755032475016,-48.633479814059,-0.2558577099921031,0.017587894003200988,0.0024145715138330012,0.036729846076704015,0.0010629426160083996,-446.703908631526,-0.006471443934767007,0.1768302453246,-0.013399857081389577,-12.571135629814705,-31.846537157161038,-17.1585897720148,0.04028762726089902,-0.23957011339473944,-118.15417263036596,0.01613851856476499,0.02209283363612599,-10.386943752483006,0.04145544753979302,0.78677709348031,0.0061134666056190945,-22.8268018018018,-0.034647033012742995,1.4211037526124102,3.1791103603603297,-241925.93355855803,-652390.0505630539,-161489.550099232,0.043174119990526005,-4.19853603603604,0.012906045826231706,0.020830096020868993,1.0993302916712202,0.0185535280179831,-0.3989942849392394,-7.19326418515999e-05,-242108.60622235402,-20.3263098139696,0.0007434908381074199,0.18149207464256012,-0.0003976610024568998,0.06347675313310931,0.5686289777614588,0.0005258377631782894,0.0015897370835871194
GC,0,0.61226554,0,-132.34737230115599,-52.0,-20.0,-43.64875095908303,-43.64875095908303,-11098.999999999938,-24.491248905010202,0.026115901806306796,-22329.646752983703,0.03614374376001983,-11135.0,4.0,-16.0,-24167981.0,-0.31882605137489994,-12.0,8.342934605101771,-10.0,-5.0877535170111,-5.464336090736701,-7.0,0.0,-10.0,-5.423655168973589,-6.379552196408895,1.557458394543536,-24167981.0,0.104483255694297,-136.61985335166497,-1.0161474017766001,9.179203590217902,1.40528536780712,-0.8234505186594299,0.00841524708855701,-0.04579485372522296,0.0036705820214809892,0.012292724062283988,0.006488170124513998,-0.0011117704960770247,-0.001360824504033964,-0.00012113360123999772,-0.0003567544187289551,0.067253482603579,-0.05947117136936797,0.000154205054886003,-0.21854290297305012,0.09064486544607003,-0.38374970348458026,-0.02741083332747496,0.12100498011494698,-0.43708580594609003,-0.38638250401889995,-0.203758817892718,-0.36819320015656976,-3489.40849315628,-0.006259890469422991,0.40163958660608,-2717.5135767243105,-0.17079253797016103,-0.94622881048315,-1.1919453699289022,-73.09591341480399,2.221310735252999,0.05272290059155399,0.0017082735496258966,0.01249517335471001,0.0018929983049927011,-501.48551278506204,0.025842495023089995,0.23017575135787993,-0.4540364885236299,-0.0017238282080001,-22.567886259679028,-8.299810926110005,0.07815001969651802,-0.2983904267608901,-178.81396090870504,0.014212024976555007,0.013189419324681984,-2.922503235832501,0.042598742806820966,0.7829058059110401,0.015349503546068996,-21.333722457318004,-0.006062981658840977,1.1486740456850297,1.8542973880052003,-253811.251860499,-775996.922077922,-153500.63965138,0.05469303016819399,-6.8966875820808395,-0.0036228902254935025,-0.043922523871124,-0.67802302476539,0.027104544681277,-0.6696393121135902,-0.0001251548550961299,-254165.14538942298,-23.143214898122796,0.0010123406414311,0.11101046440007956,-0.0010809852061261097,0.1009883738574753,0.20413577474360256,0.003633378697246968,0.0018112325894111027
GC,0,0.6765173299999999,0,-133.224350120206,-69.0,-19.0,-54.73123292211301,-54.73123292211301,-8945.499999999938,-19.4828302471659,0.0220758984225769,-18059.608277210496,0.02621547589000972,-8989.0,4.0,-5.6000000000003,-13172997.0,-0.09285640689079999,-11.0,9.58465376182544,24.0,-2.5531204588336998,-0.8628740303254006,-3.0,0.0,24.0,-3.7870976133577603,-0.45317996389540127,1.8210077077916502,-13172997.0,0.06132161194521801,21.028522186303007,-0.07453329444043977,48.970529539838296,5.36247112035079,0.18052220807468,0.03649172764106701,-0.01872905572996808,0.028334748572206997,0.07574775647958998,0.02571946294427599,-0.012871990917528997,-0.01335167637921697,0.00014135515630797624,-0.0009949912411610917,0.05458016570650792,-0.031522261059449996,0.021802904903247017,-0.03058925035927995,0.04652599586282796,-0.059521416719169995,-0.005111794874314013,0.10273158014051598,-0.06117850071857989,-0.09025565106786981,0.05425348392893703,-0.02805774269767003,-3368.8057237994103,-0.04292962128500499,0.57293617058553,-2645.0349157177197,0.07890735550319294,-0.020307996931779648,-3.3323885025628996,-34.484828734453004,-2.2510094264225984,-0.0034522297791860224,0.0032428680501277,0.056429526999519,0.0012147773742183995,-419.164768027096,-0.01500830063252101,0.5433345097972,0.7203209996167894,-21.977323450050008,-26.041707027559028,-27.4937056276166,0.034506950611082,-0.21666715834208983,-70.36222170193201,0.024977757249106988,0.032278417826408,-16.1926356356822,0.06156263290372799,1.3042512874464003,0.0167757410644101,-22.8179304566401,-0.04120317268039403,1.8670148544105598,3.60745705906991,-266507.113447843,-591109.1121072469,-202437.582730998,0.06946527189985102,-3.847507331378301,0.005477863353182698,-0.004697737572864014,0.15761659371196002,0.023434011283284095,-0.3805800616544399,-0.0001099390816715392,-266863.800113623,-28.785454291941498,0.0008231418378339499,2.0599892062561898,-0.00045956328441153,0.10298748493239569,0.10973918530240956,-0.0033717024362867674,0.0013119329753659202
GC,0,0.6413823200000001,0,-120.32734583880301,-16.0,-8.0,-13.192370657904007,-13.192370657904007,-5793.749999999998,-14.791074251582202,0.009904007957122804,-11677.925094471502,0.011099050667370047,-5817.0,6.0,21.0,9164594.0,0.24804364995263994,-1.0,-1.0935602394265,2.0,5.857838403269902,8.951446977408501,3.0,0.0,2.0,-0.0033332718576009057,13.978884470761798,0.20391186036488973,9164594.0,-0.029359408880108018,785.565614111337,2.8456539368468903,856.665040080637,58.5780745119355,5.331902752982,0.03800537878945401,0.022984415603258035,0.027944701928907995,0.07026971353912392,0.026236529442353024,-0.012353802666292935,-0.012966283278399104,-1.5913481196005996e-05,-0.0010159806834290075,-0.01692250937239903,0.017660199911365027,0.019691570807122,0.3603209116686601,-0.029251318853979025,0.32932215242290974,0.016182378274237963,-0.008936148226446006,0.7206418233373202,0.29390194906988,1.34247703294288,0.34627547899471,-2350.9417924744002,-0.03455250666513099,0.47769089608156,-2378.23337000837,1.3197935481019298,2.80914485614033,-2.6445704062643998,74.254797993068,-7.080649045552601,-0.08546647802322405,0.0030665058205679996,0.207171767928947,-0.0006534415357525893,-295.45057372577696,-0.04403332000732002,2.43350253309933,5.65253389023848,-14.039987915205998,124.82521085630498,-26.027176159457298,-0.03175227178485901,0.10958288586783027,-11.784336209935987,0.019017381598444003,0.02609593603242899,-10.195124370948193,0.03912806157771098,3.8510383843736102,-0.0005051708438875979,-11.537563085796698,-0.03167343896278599,2.66375597070126,8.5279019466474,-297601.09264599904,-422791.77534246596,-260416.17763475998,0.009247730067536986,-3.5104542177360702,-0.005678176537827595,-0.015773544183871002,-0.6629121905883602,0.014128245605073107,-0.20912744482356072,0.0007104228785029289,-296037.040717004,-14.024211161776702,0.0005584531326682499,1.9817714355140001,0.0030280537466137,0.11063735372754596,0.16135837153803345,-0.0008105941852780107,0.0014944805200524628
GC,0,0.58751286,0,-110.53839684870502,-39.0,-12.0,-22.768842367763,-22.768842367763,-8037.249999999998,-16.8746814595618,0.012722452413749502,-16190.916055950001,0.013735051326750014,-8065.0,2.0,48.0,9708418.0,0.37158076757190006,8.0,-6.501881662832081,0.0,12.373231968631902,10.574709132721395,-1.0,0.0,0.0,5.7891090955408995,17.857399140955295,-0.6489324982239999,9708418.0,-0.045849669225238976,1248.13793567679,4.1147621194480095,843.1221832607309,65.1020276542335,8.25578244114025,0.066664125817428,0.018978619766185978,0.05195495424298199,0.11173345380907396,0.04135699827508099,-0.023582194426092995,-0.02450655996404605,-0.0005401497914488962,-0.004235908045689962,-0.01990646308669297,0.018621515032723024,0.03961564039635998,0.4400006454766099,-0.03612791270389101,0.49154482634538965,0.009236053803422961,-0.020173121733169985,0.8800012909532207,0.42345211392282023,2.08061164173943,0.44335374749028045,-3111.35916334066,-0.048930476753152014,0.8306117117623604,-3096.84710607146,2.0084544327877296,4.016271999160531,-4.7831388790811005,71.06669266257899,-2.5942225491803015,-0.03222657347121799,0.005644739946957102,0.337440180230092,-0.0002707274545216201,-418.189470879922,-0.067156833242354,2.2847492018906097,7.610505632371499,-8.261174005397109,106.68108059878898,-7.425675117714498,-0.05621421417181299,-0.002708147219749435,118.68558916492907,0.051545237057321,0.047971519776441984,-4.337106681225201,0.07989509334712702,5.09440506465765,-0.006961424501872093,-13.1562113867503,-0.015669911867892003,1.6231573750358903,9.027872825777,-216813.59098469702,-581663.84243418,-127859.71899840601,-0.012423624175148001,-7.72687957418489,-0.015411142989818001,-0.019958979367006024,1.39781112227692,-0.006613458406274704,-0.07277472385919026,0.0003140465068035992,-216374.130460811,-10.1782507880921,0.00093235323026232,-1.0927106022747992,0.00626326825733988,0.06872707700558,0.24050158761090512,0.000790989980357702,0.001608636279353339
GC,0,0.48369031999999995,0,-102.48801309807499,-34.0,-11.0,-10.410856942775979,-10.410856942775979,-7510.499999999998,-17.9751254365479,0.010844301858218289,-15143.504617360697,0.0106340257366897,-7544.0,4.0,53.0,29050203.0,0.48254950228326,9.0,-3.8072072731114206,2.0,14.667836211348,13.708081643575802,0.0,0.0,2.0,5.764002380049401,23.915707625982208,-0.09224945151205,29050203.0,-0.060856656071439974,1620.918563036113,5.2261325639903795,1342.403984205304,96.2581790826281,10.55565114315284,0.071327692503552,0.03713333797570095,0.054073019711675996,0.12573938638412896,0.046550307424788995,-0.024215986106748022,-0.025311042576650067,-0.00028411666105399025,-0.0031320778522699877,-0.034664807422746025,0.027601531780439004,0.039497034264593,0.5664904046247003,-0.047874269247157014,0.6122885487705498,0.026766496945783924,-0.018715019074729,1.1329808092493998,0.5409866932216998,2.6567447089141,0.5534899365866908,-3144.0554588514897,-0.050458847376528004,0.9074423174733104,-3368.56178038284,2.60652029749754,5.1667408795962,-4.755139245373698,119.415587121079,-4.238222594874003,-0.05653190113253098,0.005501523949397399,0.39683308467012,-0.0007772139586944907,-482.1420679376091,-0.090297287676118,3.53176921717988,10.279830797431028,-10.533823689406006,143.114466684459,-10.9422933406223,-0.07525017700627995,0.13504938200876015,160.22938450595302,0.05036871770408399,0.04793266041816799,-4.534034384102107,0.08705226328774102,6.56899571806397,-0.010617791760637596,-15.643181818181901,-0.035358987603306,3.727806473829201,15.8742424242424,-267171.55530303,-630900.3473484791,-172524.706938882,-0.034830012516648995,-7.72651515151512,-0.020365300734618896,-0.066256755457862,0.97188497929488,-0.012215265364346,0.12801702287801042,0.000754912085842099,-265857.446258035,-14.931382239399198,0.000845185697080055,1.1122973088167392,0.006967728467006129,0.096761214620639,0.39303420472743766,-0.0002859829737861081,0.0015318731170015213
GC,0,0.59509991,0,-147.39485327078103,-66.0,-14.0,-53.70579139451098,-53.70579139451098,-8738.5833333333,-15.562577642973999,0.013747584591134107,-17632.016420154996,0.013035161001529794,-8779.0,2.0,46.0,16473283.0,0.46864406410084003,6.0,-4.3456994522434105,2.0,13.204750734169501,11.884667372321005,2.0,0.0,2.0,5.129647669090701,21.313132227235904,-0.11362041786530996,16473283.0,-0.05988447305827299,1390.3976132310017,4.481826523973719,1118.029765605997,81.5875093077386,9.11513434145262,0.06371660488987502,0.04190855625077994,0.047831543762132,0.11073735074118207,0.041505665204015996,-0.021328210667698966,-0.022327265768291915,-0.0002165425177470537,-0.002596287573665035,-0.04508429940894898,0.031927464565567054,0.03449830003537799,0.4969291931944102,-0.04474874970739298,0.57813296549805,0.028832162281937967,-0.024563992131971024,0.9938583863888302,0.5149367842794801,2.2947127365856304,0.5192702898497998,-3270.7159777007205,-0.042216868586614,0.9098134908479802,-3725.6233051563504,2.2284245511802405,4.394631661720791,-4.198205493993896,88.993117909089,-3.3188756835677005,-0.045662364740294004,0.0058405770023091,0.357077385050379,-0.00047451526440503954,-560.324280078624,-0.09286880938053399,3.2258562104466004,9.2655395396079,-8.240487796374609,132.643173800789,-9.69705810561399,-0.07062313242893903,0.16994978949118966,83.89493353461,0.04993445773555201,0.04327727617448898,-4.413293549052703,0.08707366464105898,6.13161955775062,-0.010140886392314905,-14.168051556286901,-0.034632329651082996,2.8470733411309803,11.627862333744702,-323334.29197861,-824372.2880296151,-201027.99231546302,-0.02485800594551202,-4.973755656108501,-0.0105270720761804,-0.031567955089180005,0.6196076392004097,-0.010963266907587102,-0.034716019435460765,0.0018906821317957404,-319960.091991714,-18.973712478894402,0.0010041127255047588,1.1045338377589005,0.005871339312384371,0.12335291424499199,0.2293549464991198,-0.0024581720745577244,0.0013770464763140204
GC,0,0.481852,0,-125.71788006521001,-74.0,-12.0,-60.57817763365699,-60.57817763365699,-8285.999999999998,-13.529588767587505,0.012540325404582997,-16739.1011391912,0.009881251022059612,-8331.0,0.0,64.0,26909963.0,0.5312231459939598,16.0,-5.27112836370962,2.0,17.094447013548002,14.083097571120696,0.0,0.0,2.0,8.5945124138905,24.947175195005002,-0.47987397586828995,26909963.0,-0.07236316808132601,1805.163021403697,5.7352620805224905,1397.863622037747,99.31441766714201,11.745073385525618,0.06081797187514201,0.03657387821137903,0.044548627029669025,0.10134034444200002,0.03934303513478202,-0.019618925192887993,-0.020647379030287016,-0.00017419955284203592,-0.0022576993165729364,-0.053567374309495985,0.030912551323903026,0.030843436728265006,0.5906288102077899,-0.051341942724975,0.6378052230633298,0.023029801524927063,-0.046646832253166015,1.1812576204155798,0.5759796393937,2.9514728393502003,0.55135190503968,-2979.3044135854198,-0.035829522195162,0.7738242491247003,-3700.5482815914497,2.8661347946041102,5.617273586434919,-3.791181252763998,146.40475964564303,-1.509048568728602,-0.02931857313849301,0.004915510382230599,0.413439783822907,-0.0008819343441409493,-555.129563374333,-0.091781791590555,3.3178290465508296,10.747319166772998,1.1736360716829068,173.84485177670393,3.8439188641159987,-0.08104174572310402,0.17797374287343004,62.89714043687002,0.04372210453577499,0.038878794421374985,4.076273973819802,0.07195554547377597,6.45396871600782,-0.018818790868071207,-13.5791576161585,-0.02614380925674399,2.593691815638361,16.10735775098,-268587.051082316,-787349.7285097251,-134140.28966730103,-0.077543699813374,-6.96841684767681,-0.017156698378568196,-0.03781186392105498,2.4147743940256805,-0.0190817378541593,0.07008356857534981,0.0010132833378633,-266843.86746917,-17.302910366693197,0.0011466410158779419,0.513199745270601,0.00753855558488132,0.11182770662798901,0.3957350032312852,0.005248838672477676,0.001926377371714465
